"Bevolking op de eerste van de maand; geslacht, leeftijd, herkomstland"
"Geboorteland ouders: Totaal"
"Onderwerp: |Bevolking op de eerste van de maand"
"Perioden: 2023 januari"
"Geboorteland: Totaal"
"";""
"Leeftijd";"Geslacht";"Herkomstland";"aantal"
"25 jaar";"Totaal mannen en vrouwen";"Totaal";"227429"
"25 jaar";"Totaal mannen en vrouwen";"Nederland";"147107"
"25 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"28698"
"25 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"51624"
"25 jaar";"Mannen";"Totaal";"115090"
"25 jaar";"Mannen";"Nederland";"74999"
"25 jaar";"Mannen";"Europa (exclusief Nederland)";"13765"
"25 jaar";"Mannen";"Buiten Europa";"26326"
"25 jaar";"Vrouwen";"Totaal";"112339"
"25 jaar";"Vrouwen";"Nederland";"72108"
"25 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14933"
"25 jaar";"Vrouwen";"Buiten Europa";"25298"
"26 jaar";"Totaal mannen en vrouwen";"Totaal";"227241"
"26 jaar";"Totaal mannen en vrouwen";"Nederland";"146026"
"26 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29531"
"26 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"51684"
"26 jaar";"Mannen";"Totaal";"115759"
"26 jaar";"Mannen";"Nederland";"75077"
"26 jaar";"Mannen";"Europa (exclusief Nederland)";"14429"
"26 jaar";"Mannen";"Buiten Europa";"26253"
"26 jaar";"Vrouwen";"Totaal";"111482"
"26 jaar";"Vrouwen";"Nederland";"70949"
"26 jaar";"Vrouwen";"Europa (exclusief Nederland)";"15102"
"26 jaar";"Vrouwen";"Buiten Europa";"25431"
"27 jaar";"Totaal mannen en vrouwen";"Totaal";"228636"
"27 jaar";"Totaal mannen en vrouwen";"Nederland";"146689"
"27 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29008"
"27 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"52939"
"27 jaar";"Mannen";"Totaal";"115901"
"27 jaar";"Mannen";"Nederland";"74970"
"27 jaar";"Mannen";"Europa (exclusief Nederland)";"14373"
"27 jaar";"Mannen";"Buiten Europa";"26558"
"27 jaar";"Vrouwen";"Totaal";"112735"
"27 jaar";"Vrouwen";"Nederland";"71719"
"27 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14635"
"27 jaar";"Vrouwen";"Buiten Europa";"26381"
"28 jaar";"Totaal mannen en vrouwen";"Totaal";"235632"
"28 jaar";"Totaal mannen en vrouwen";"Nederland";"150476"
"28 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29810"
"28 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"55346"
"28 jaar";"Mannen";"Totaal";"119925"
"28 jaar";"Mannen";"Nederland";"76981"
"28 jaar";"Mannen";"Europa (exclusief Nederland)";"14836"
"28 jaar";"Mannen";"Buiten Europa";"28108"
"28 jaar";"Vrouwen";"Totaal";"115707"
"28 jaar";"Vrouwen";"Nederland";"73495"
"28 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14974"
"28 jaar";"Vrouwen";"Buiten Europa";"27238"
"29 jaar";"Totaal mannen en vrouwen";"Totaal";"236061"
"29 jaar";"Totaal mannen en vrouwen";"Nederland";"150194"
"29 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29792"
"29 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"56075"
"29 jaar";"Mannen";"Totaal";"119892"
"29 jaar";"Mannen";"Nederland";"76644"
"29 jaar";"Mannen";"Europa (exclusief Nederland)";"15052"
"29 jaar";"Mannen";"Buiten Europa";"28196"
"29 jaar";"Vrouwen";"Totaal";"116169"
"29 jaar";"Vrouwen";"Nederland";"73550"
"29 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14740"
"29 jaar";"Vrouwen";"Buiten Europa";"27879"
"30 jaar";"Totaal mannen en vrouwen";"Totaal";"238136"
"30 jaar";"Totaal mannen en vrouwen";"Nederland";"150758"
"30 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29769"
"30 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"57609"
"30 jaar";"Mannen";"Totaal";"121068"
"30 jaar";"Mannen";"Nederland";"77081"
"30 jaar";"Mannen";"Europa (exclusief Nederland)";"14712"
"30 jaar";"Mannen";"Buiten Europa";"29275"
"30 jaar";"Vrouwen";"Totaal";"117068"
"30 jaar";"Vrouwen";"Nederland";"73677"
"30 jaar";"Vrouwen";"Europa (exclusief Nederland)";"15057"
"30 jaar";"Vrouwen";"Buiten Europa";"28334"
"31 jaar";"Totaal mannen en vrouwen";"Totaal";"240472"
"31 jaar";"Totaal mannen en vrouwen";"Nederland";"153011"
"31 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29995"
"31 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"57466"
"31 jaar";"Mannen";"Totaal";"122037"
"31 jaar";"Mannen";"Nederland";"77909"
"31 jaar";"Mannen";"Europa (exclusief Nederland)";"15022"
"31 jaar";"Mannen";"Buiten Europa";"29106"
"31 jaar";"Vrouwen";"Totaal";"118435"
"31 jaar";"Vrouwen";"Nederland";"75102"
"31 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14973"
"31 jaar";"Vrouwen";"Buiten Europa";"28360"
"32 jaar";"Totaal mannen en vrouwen";"Totaal";"240847"
"32 jaar";"Totaal mannen en vrouwen";"Nederland";"152742"
"32 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29511"
"32 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"58594"
"32 jaar";"Mannen";"Totaal";"122593"
"32 jaar";"Mannen";"Nederland";"78153"
"32 jaar";"Mannen";"Europa (exclusief Nederland)";"14692"
"32 jaar";"Mannen";"Buiten Europa";"29748"
"32 jaar";"Vrouwen";"Totaal";"118254"
"32 jaar";"Vrouwen";"Nederland";"74589"
"32 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14819"
"32 jaar";"Vrouwen";"Buiten Europa";"28846"
"33 jaar";"Totaal mannen en vrouwen";"Totaal";"232932"
"33 jaar";"Totaal mannen en vrouwen";"Nederland";"146285"
"33 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"29240"
"33 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"57407"
"33 jaar";"Mannen";"Totaal";"117931"
"33 jaar";"Mannen";"Nederland";"74154"
"33 jaar";"Mannen";"Europa (exclusief Nederland)";"14557"
"33 jaar";"Mannen";"Buiten Europa";"29220"
"33 jaar";"Vrouwen";"Totaal";"115001"
"33 jaar";"Vrouwen";"Nederland";"72131"
"33 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14683"
"33 jaar";"Vrouwen";"Buiten Europa";"28187"
"34 jaar";"Totaal mannen en vrouwen";"Totaal";"229986"
"34 jaar";"Totaal mannen en vrouwen";"Nederland";"144633"
"34 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"28698"
"34 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"56655"
"34 jaar";"Mannen";"Totaal";"116366"
"34 jaar";"Mannen";"Nederland";"73455"
"34 jaar";"Mannen";"Europa (exclusief Nederland)";"14055"
"34 jaar";"Mannen";"Buiten Europa";"28856"
"34 jaar";"Vrouwen";"Totaal";"113620"
"34 jaar";"Vrouwen";"Nederland";"71178"
"34 jaar";"Vrouwen";"Europa (exclusief Nederland)";"14643"
"34 jaar";"Vrouwen";"Buiten Europa";"27799"
"35 jaar";"Totaal mannen en vrouwen";"Totaal";"228622"
"35 jaar";"Totaal mannen en vrouwen";"Nederland";"146292"
"35 jaar";"Totaal mannen en vrouwen";"Europa (exclusief Nederland)";"27429"
"35 jaar";"Totaal mannen en vrouwen";"Buiten Europa";"54901"
"35 jaar";"Mannen";"Totaal";"115907"
