Age;Men;Women
105 yrs or older;0;0
104 yrs;0;0
103 yrs;0;0
102 yrs;0;0
101 yrs;0;1 000
100 yrs;0;1 000
99 yrs;0;1 000
98 yrs;1 000;2 000
97 yrs;1 000;3 000
96 yrs;2 000;5 000
95 yrs;2 000;6 000
94 yrs;4 000;9 000
93 yrs;5 000;12 000
92 yrs;7 000;15 000
91 yrs;9 000;18 000
90 yrs;12 000;22 000
89 yrs;15 000;26 000
88 yrs;18 000;30 000
87 yrs;22 000;33 000
86 yrs;27 000;39 000
85 yrs;31 000;43 000
84 yrs;36 000;48 000
83 yrs;39 000;49 000
82 yrs;44 000;54 000
81 yrs;51 000;61 000
80 yrs;57 000;67 000
79 yrs;57 000;66 000
78 yrs;85 000;95 000
77 yrs;85 000;94 000
76 yrs;84 000;91 000
75 yrs;84 000;90 000
74 yrs;85 000;91 000
73 yrs;87 000;91 000
72 yrs;91 000;96 000
71 yrs;92 000;97 000
70 yrs;95 000;99 000
69 yrs;98 000;102 000
68 yrs;102 000;105 000
67 yrs;105 000;108 000
66 yrs;109 000;111 000
65 yrs;113 000;115 000
64 yrs;115 000;117 000
63 yrs;119 000;121 000
62 yrs;121 000;123 000
61 yrs;125 000;125 000
60 yrs;128 000;127 000
59 yrs;126 000;126 000
58 yrs;125 000;125 000
57 yrs;125 000;125 000
56 yrs;126 000;127 000
55 yrs;132 000;133 000
54 yrs;130 000;131 000
53 yrs;125 000;126 000
52 yrs;119 000;122 000
51 yrs;111 000;113 000
50 yrs;108 000;110 000
49 yrs;104 000;106 000
48 yrs;104 000;105 000
47 yrs;103 000;105 000
46 yrs;105 000;106 000
45 yrs;105 000;106 000
44 yrs;110 000;110 000
43 yrs;108 000;109 000
42 yrs;108 000;107 000
41 yrs;108 000;107 000
40 yrs;112 000;110 000
39 yrs;114 000;112 000
38 yrs;116 000;115 000
37 yrs;118 000;115 000
36 yrs;119 000;116 000
35 yrs;121 000;117 000
34 yrs;125 000;121 000
33 yrs;125 000;121 000
32 yrs;124 000;120 000
31 yrs;123 000;119 000
30 yrs;124 000;119 000
29 yrs;120 000;116 000
28 yrs;120 000;115 000
27 yrs;119 000;116 000
26 yrs;122 000;118 000
25 yrs;122 000;118 000
24 yrs;124 000;121 000
23 yrs;121 000;118 000
22 yrs;120 000;118 000
21 yrs;119 000;117 000
20 yrs;115 000;112 000
19 yrs;112 000;107 000
18 yrs;107 000;100 000
17 yrs;101 000;95 000
16 yrs;102 000;96 000
15 yrs;102 000;96 000
14 yrs;101 000;96 000
13 yrs;98 000;93 000
12 yrs;96 000;92 000
11 yrs;94 000;89 000
10 yrs;95 000;91 000
9 yrs;93 000;88 000
8 yrs;93 000;89 000
7 yrs;92 000;87 000
6 yrs;90 000;86 000
5 yrs;90 000;86 000
4 yrs;89 000;85 000
3 yrs;94 000;90 000
2 yrs;87 000;83 000
1 yrs;85 000;81 000
0 yrs;85 000;81 000
