"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtcat","prtvtdbe","prtvtdbg","prtvtgch","prtvtbcy","prtvtecz","prtvede1","prtvede2","prtvtddk","prtvtgee","prtvtees","prtvtdfi","prtvtdfr","prtvtcgb","prtvtahr","prtvtfhu","prtvtcie","prtvtcis","prtvtcit","prtvblt1","prtvblt2","prtvblt3","prtvtalv","prtvtme","prtvtgnl","prtvtbno","prtvtdpl","prtvtcpt","prtvtrs","prtvtcse","prtvtfsi","prtvtdsk","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","prtcldat","prtcldbe","prtcldbg","prtclgch","prtclbcy","prtclecz","prtclede","prtclddk","prtclgee","prtclfes","prtclefi","prtclffr","prtclcgb","prtclahr","prtclghu","prtcleie","prtclcis","prtcldit","prtclblt","prtclalv","prtclme","prtclfnl","prtclbno","prtclhpl","prtclept","prtclrs","prtclcse","prtclfsi","prtcldsk","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdnbat","rlgdnbe","rlgdnach","rlgdncy","rlgdnade","rlgdnafi","rlgdngb","rlgdnhu","rlgdnie","rlgdnais","rlgdnlt","rlgdnlv","rlgdme","rlgdnnl","rlgdnno","rlgdnapl","rlgdnrs","rlgdnase","rlgdnask","rlgblge","rlgdnme","rlgdebat","rlgdebe","rlgdeach","rlgdecy","rlgdeade","rlgdeafi","rlgdegb","rlgdehu","rlgdeie","rlgdeais","rlgdelt","rlgdelv","rlgdeme","rlgdenl","rlgdeno","rlgdeapl","rlgders","rlgdease","rlgdeask","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","ctzshipd","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","blgetmg","facntr","fbrncntc","mocntr","mbrncntc","admdw","vteurmmb","vteumbgb","vteubcmb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","fcldbrn","ycldbyr","ngchld","ygcdbyr","ggchld","admge","ageadlt","agemage","ageoage","iaglptn","iagmr","iagpnt","iagrtr","tygledu","tyglvp","tygmr","tygpnt","tygrtr","tolvpnt","tochld","towkht","anvcld","alvgptn","acldnmr","aftjbyc","advcyc","plnftr","hhmmb","gndr","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","yrbrn","agea","yrbrn2","yrbrn3","yrbrn4","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","yrbrn10","yrbrn11","yrbrn12","yrbrn13","yrbrn14","yrbrn15","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshipa10","rshipa11","rshipa12","rshipa13","rshipa14","rshipa15","rshpsts","rshpsgb","lvgptnea","dvrcdeva","marsts","marstgb","maritalb","chldhhe","domicil","eisced","edulvlb","edlveat","edlvebe","edlvebg","edlvdch","edlvgcy","edlvdcz","edubde1","eduade2","eduade3","edlvddk","edlvdee","edlvges","edlvdfi","edlvdfr","educgb1","edubgb2","edagegb","edlvehr","edlvdhu","edlvdie","edlvdis","edlveit","edlvdlt","edlvdlv","edlvdme","edlvenl","edlvdno","edlvgpl","edlvdpt","edlvdrs","edlvdse","edlvesi","edlvdsk","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","eiscedp","edulvlpb","edlvpeat","edlvpebe","edlvpebg","edlvpdch","edlvpgcy","edlvpdcz","edupbde1","edupade2","edupade3","edlvpddk","edlvpdee","edlvpfes","edlvpdfi","edlvpdfr","edupcgb1","edupbgb2","edagepgb","edlvpehr","edlvpdhu","edlvpdie","edlvpdis","edlvpeit","edlvpdlt","edlvpdlv","edlvpdme","edlvpenl","edlvpdno","edlvpfpl","edlvpdpt","edlvpdrs","edlvpdse","edlvpesi","edlvpdsk","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","isco08p","emprelp","wkhtotp","eiscedf","edulvlfb","edlvfeat","edlvfebe","edlvfebg","edlvfdch","edlvfgcy","edlvfdcz","edufbde1","edufade2","edufade3","edlvfddk","edlvfdee","edlvffes","edlvfdfi","edlvfdfr","edufcgb1","edufbgb2","edagefgb","edlvfehr","edlvfdhu","edlvfdie","edlvfdis","edlvfeit","edlvfdlt","edlvfdlv","edlvfdme","edlvfenl","edlvfdno","edlvffpl","edlvfdpt","edlvfdrs","edlvfdse","edlvfesi","edlvfdsk","emprf14","occf14b","eiscedm","edulvlmb","edlvmeat","edlvmebe","edlvmebg","edlvmdch","edlvmgcy","edlvmdcz","edumbde1","edumade2","edumade3","edlvmddk","edlvmdee","edlvmfes","edlvmdfi","edlvmdfr","edumcgb1","edumbgb2","edagemgb","edlvmehr","edlvmdhu","edlvmdie","edlvmdis","edlvmeit","edlvmdlt","edlvmdlv","edlvmdme","edlvmenl","edlvmdno","edlvmfpl","edlvmdpt","edlvmdrs","edlvmdse","edlvmesi","edlvmdsk","emprm14","occm14b","atncrse","anctry1","anctry2","region","regunit","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","fvgabc","infqbst","grspnum","grsplet","netinum","netilet","grspfr","netifr","frlgrsp","frlneti","occinfr","topinfr","btminfr","wltdffr","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","inwdds","inwmms","inwyys","inwshh","inwsmm","inwdde","inwmme","inwyye","inwehh","inwemm","inwtm","domain","prob","stratum","psu"
"ESS9e03_2",9,"3.2","23.11.2023",25,"NL",1.0443921,1.0666636,0.8618326,0.9192855,60,5,300,7,7,5,2,3,2,3,2,6,7,7,6,6,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2,2,2,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,5,8,7,6,7,6,6,4,1,5,1,8,2,2,2,6,7,6,8,6,4,3,2,2,2,3,5,5,2,66,,,,,,,,,,,,,,6666,,,,,,2,66,,,,,,,,,,,,,,6666,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",3,1,,,1,2009,2007,1,2011,1,2015,1,2,2016,2017,66,6666,6,1,18,50,70,25,28,30,65,16,25,28,30,60,25,40,60,4,5,5,4,9,4,4,2,1,2,2,6,6,6,6,6,6,6,6,6,,,1986,32,1975,2016,2017,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,2,2,66,66,66,66,66,66,66,66,66,,,1,,1,2,66,,1,6,3,7,720,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,18,1,0,0,0,0,0,0,1,0,0,0,0,8,8,6,6,6666,1,66666,2,4,2,66666,9,7,24,1,28,86,2,2269,2,2,6,6,1,1,7,2,1,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,4321,1,40,7,720,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,1,2,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,3,1,11040,555555,"NL41",2,4,3,3,3,8,8,8,1,2,2200,66,1800,66,0,0,666666666,666666666,0,2,-3,2,4,4,2,3,3,4,2,2,4,2,2,2,2,5,2,3,5,3,3,2,5,3,2,2,4,4,3,5,5,2,3,2,2,22,11,2018,9,44,22,11,2018,10,38,53,,0.0002342237,2492,19228
"ESS9e03_2",9,"3.2","23.11.2023",36,"NL",1.0253499,0.84673977,0.8618326,0.72974795,30,5,60,7,7,7,3,2,2,3,3,5,8,7,7,7,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,5,8,7,7,7,6,7,2,1,5,1,7,3,3,3,5,88,88,9,4,4,2,2,2,5,1,7,4,2,66,,,,,,,,,,,,,,6666,,,,,,2,66,,,,,,,,,,,,,,6666,,,,,,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,2,"ID",1,"6666",2,1,,,1,1979,1980,1,1986,1,1990,1,2,1990,1994,0,6666,6,1,21,50,75,22,28,26,65,16,18,20,20,50,28,40,60,4,4,4,3,9,10,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,1961,57,1967,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,66,66,66,,,1,,2,1,66,,1,1,2,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,12,0,0,0,0,1,0,0,0,0,0,0,0,66,5,2,1,2013,1,66666,1,3,1,6,8,2,36,1,40,51,4,4323,2,1,1,2,3,6,6,1,6,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,66,2,66666,6,666,7,710,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,3,66,2,212,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,66,2,11040,43020,"NL33",2,3,3,2,8,8,8,7,3,2,666666666,66,1450,66,6,-2,666666666,1600,-2,1,-1,2,4,4,2,2,1,4,2,2,4,3,3,2,5,5,2,5,2,3,2,5,2,5,2,2,3,2,2,3,5,3,2,5,2,29,10,2018,12,1,29,10,2018,13,14,71,,0.00023857357,2477,18506
"ESS9e03_2",9,"3.2","23.11.2023",110,"NL",1.0290543,0.71605754,0.8618326,0.61712176,90,5,180,7,8,5,1,4,2,3,1,9,8,8,8,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,5,7,8,7,8,7,10,2,1,5,1,6,2,2,2,7,4,7,7,3,1,4,2,3,2,3,8,5,1,3,,,,,,,,,,,,,,19,,,,,,6,66,,,,,,,,,,,,,,6666,,,,,,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",2,"RU",2008,"DUT","000",2,2,"RU",2,"RU",1,2,,,1,2010,1989,1,2008,1,2010,1,2,2011,2015,66,6666,6,1,18,45,65,20,24,24,60,16,16,18,18,55,0,45,70,4,5,5,5,9,7,4,2,1,1,1,6,6,6,6,6,6,6,6,6,,,1974,45,1969,2011,2015,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,2,2,66,66,66,66,66,66,66,66,66,,,1,,1,2,66,,1,6,1,7,720,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,18,0,1,1,0,0,0,0,1,0,0,0,0,8,8,2,1,2015,1,66666,2,1,2,66666,9,9,24,1,24,47,4,5223,2,1,1,1,3,1,1,2,7,7,710,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3422,1,10,7,710,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,1,7,720,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,1,2,1,11040,15110,"NL31",2,4,3,3,9,8,9,7,6,6,666666666,66,666666666,66,6,6,666666666,666666666,6,0,0,0,4,3,3,3,2,4,2,2,2,2,2,2,2,3,3,4,2,1,3,2,2,6,3,2,3,3,4,3,5,2,3,2,2,2,1,2019,14,21,2,1,2019,15,43,79,,0.00023771475,2495,18864
"ESS9e03_2",9,"3.2","23.11.2023",114,"NL",0.96159035,0.7940868,0.8618326,0.6843699,90,5,90,8,7,7,3,1,1,2,1,6,6,6,5,5,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,88,8,8,7,7,6,8,2,2,4,2,7,3,3,3,7,7,7,8,6,3,3,2,2,2,3,8,8,2,66,,,,,,,,,,,,,,6666,,,,,,2,66,,,,,,,,,,,,,,6666,,,,,,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",3,1,,,1,1980,0,1,1947,2,6666,2,66,6666,6666,66,6666,6,2,18,45,70,25,25,30,62,14,19,19,29,55,0,38,60,5,5,4,8,9,3,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,1947,71,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,66,66,66,66,66,66,66,66,66,66,66,66,,,66,,1,2,6,,6,2,4,2,212,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,10,0,0,0,0,0,1,0,0,1,0,0,0,6,6,2,1,2009,1,66666,1,3,1,2,8,6,40,1,40,45,4,4321,2,1,2,2,3,4,6,1,66,66,6666,,,,,,,,,,,,,,,,,,,,,,,,,,6666,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,9,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,66,2,11040,555555,"NL32",2,3,4,2,7,88,7,5,2,2,666666666,66,888888888,5,6,0,666666666,666666666,0,0,-2,-3,4,4,4,2,2,2,2,2,2,2,2,2,3,4,2,2,3,3,2,3,3,2,2,2,3,2,3,2,3,3,3,3,2,22,9,2018,9,1,22,9,2018,10,24,82,,0.0002543925,2482,18360
"ESS9e03_2",9,"3.2","23.11.2023",130,"NL",1.1114372,1.3219368,0.8618326,1.1392883,15,5,240,7,9,7,2,3,3,2,2,8,8,9,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,2,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,5,9,8,7,7,7,5,2,1,5,1,5,2,2,2,4,6,7,8,6,4,3,1,1,3,3,10,8,2,66,,,,,,,,,,,,,,6666,,,,,,1,2,,,,,,,,,,,,,,11,,,,,,5,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",3,1,,,1,2002,2002,1,2004,1,2014,1,2,2008,2010,66,6666,6,1,20,40,73,22,30,25,65,18,18,18,18,888,25,45,888,3,3,3,3,9,3,4,2,1,2,2,6,6,6,6,6,6,6,6,6,,,1984,34,1981,2008,2010,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,2,2,66,66,66,66,66,66,66,66,66,,,1,,1,2,66,,1,6,3,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,13,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,2,66666,6,2,24,1,24,88,4,2635,2,2,6,6,3,1,8,1,1,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5222,1,36,3,321,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,6,3,321,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,5,1,11040,11060,"NL12",2,2,3,3,2,8,2,7,1,2,1900,66,1500,66,0,0,666666666,666666666,0,0,-2,-3,4,4,1,1,1,4,2,1,5,4,3,3,1,6,1,1,2,3,3,2,2,1,1,1,3,2,3,5,2,1,1,4,1,12,10,2018,99,99,12,10,2018,99,99,,,0.00022009465,2488,18204
"ESS9e03_2",9,"3.2","23.11.2023",244,"NL",0.9822051,1.3347837,0.8618326,1.1503601,120,4,60,7,8,7,2,2,1,3,2,6,7,7,6,7,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,6,7,7,6,7,6,7,2,1,5,3,3,2,2,2,5,6,7,7,6,3,4,1,2,2,3,9,7,1,1,,,,,,,,,,,,,,1,,,,,,6,66,,,,,,,,,,,,,,6666,,,,,,6,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",1,1,,,1,1969,1986,2,6666,2,6666,2,66,6666,6666,66,6666,6,2,20,50,75,30,30,32,65,17,20,23,23,55,35,45,75,3,4,3,3,9,5,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,1951,67,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,66,66,66,66,66,66,66,66,66,66,66,66,,,66,,2,2,6,,6,2,3,4,313,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,11,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2018,2,0,6,1,2,66666,8,3,32,1,40,64,4,2411,2,2,6,6,3,4,7,1,66,66,6666,,,,,,,,,,,,,,,,,,,,,,,,,,6666,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,8,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,66,2,11040,555555,"NL21",2,3,3,3,7,5,6,6,2,2,666666666,66,2500,66,6,1,666666666,2800,1,2,-3,3,3,4,2,3,2,2,3,1,4,3,2,3,3,4,2,4,3,4,3,2,2,3,2,1,4,3,4,3,3,1,2,3,3,22,11,2018,12,0,22,11,2018,13,13,71,,0.00024905326,2481,18057
"ESS9e03_2",9,"3.2","23.11.2023",273,"NL",1.0148228,1.0551419,0.8618326,0.9093557,30,5,180,3,2,2,3,3,1,2,2,7,7,9,6,6,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,7,5,7,8,7,6,7,2,1,5,1,8,2,2,2,4,7,5,5,6,3,2,1,3,2,3,2,3,2,66,,,,,,,,,,,,,,6666,,,,,,2,66,,,,,,,,,,,,,,6666,,,,,,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",2,65,,,2,6666,0,2,6666,2,6666,2,66,6666,6666,66,6666,6,2,17,30,65,23,29,29,67,18,19,19,20,50,26,50,50,5,5,5,3,9,3,3,2,1,2,6,6,6,6,6,6,6,6,6,6,,,2002,16,1971,1990,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,2,3,66,66,66,66,66,66,66,66,66,66,,,66,,2,2,6,,6,6,2,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,10,1,1,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6666,1,66666,2,3,2,66666,2,7,6,1,8,56,4,5131,2,2,6,6,3,88,88,1,1,66,6666,,,,,,,,,,,,,,,,,,,,,,,,,,6666,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,2,5,7,710,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,4,2,11040,43020,"NL41",2,3,2,2,10,10,6,5,1,1,888888888,88,777777777,77,-1,-1,777777777,777777777,-1,1,-1,2,4,3,2,2,2,3,2,3,5,4,4,2,2,5,1,2,3,2,4,2,1,3,2,2,3,3,2,4,4,1,2,2,2,13,11,2018,18,52,13,11,2018,20,10,50,,0.00024104834,2487,19112
"ESS9e03_2",9,"3.2","23.11.2023",277,"NL",0.9600277,0.70322144,0.8618326,0.6060592,0,1,6666,6,6,7,4,1,1,1,1,5,8,7,5,5,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,4,9,5,5,7,8,7,3,3,4,3,5,2,2,2,4,7,4,9,7,3,4,2,2,2,2,8,5,2,66,,,,,,,,,,,,,,6666,,,,,,2,66,,,,,,,,,,,,,,6666,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",2,"CW",1,55,,,1,1955,1961,1,1961,1,1961,1,2,1963,1965,3,8888,6,1,18,0,75,0,0,888,65,888,111,888,20,888,888,888,888,5,5,5,4,9,8,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,1933,85,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,66,66,66,66,66,66,66,66,66,66,66,66,,,66,,1,2,5,,5,1,1,7,710,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,17,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1997,1,66666,1,8,2,66666,2,1,888,1,888,85,2,2300,2,2,6,6,3,4,88,1,66,66,6666,,,,,,,,,,,,,,,,,,,,,,,,,,6666,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,5,520,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,2,2,2,212,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,66,2,11040,555555,"NL33",2,2,2,2,7,7,8,6,2,2,666666666,66,888888888,88,6,0,666666666,666666666,0,1,-1,2,4,4,3,3,3,4,2,2,5,3,3,3,4,4,3,4,4,3,3,3,4,3,2,3,4,4,3,4,4,3,2,4,2,5,12,2018,11,25,5,12,2018,12,10,44,,0.00025480657,2508,18577
"ESS9e03_2",9,"3.2","23.11.2023",336,"NL",0.99097407,1.2183665,0.8618326,1.050028,75,5,210,0,7,7,3,4,1,2,2,6,7,9,7,7,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,1,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,5,8,7,6,7,8,7,3,2,5,2,7,3,3,3,6,7,6,8,7,5,4,2,2,2,3,5,5,1,1,,,,,,,,,,,,,,1,,,,,,6,66,,,,,,,,,,,,,,6666,,,,,,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",2,"BE",3,1,,,1,1994,2007,1,2007,1,2017,1,2,2008,2012,66,6666,6,1,15,50,67,25,0,29,55,18,0,20,20,40,30,35,50,3,3,3,2,9,8,4,2,1,1,1,6,6,6,6,6,6,6,6,6,,,1978,40,1980,2008,2012,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,2,2,66,66,66,66,66,66,66,66,66,,,1,,1,2,66,,1,6,4,3,321,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,5,2,66666,8,7,10,1,10,97,4,9112,2,2,6,6,3,1,6,2,1,2,212,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,7100,2,50,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,7,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,66,2,11040,555555,"NL34",2,4,4,3,8,8,7,6,1,2,888888888,88,888888888,88,0,0,666666666,666666666,0,3,-1,3,3,3,2,2,2,2,2,2,3,4,2,3,2,5,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,21,11,2018,15,10,21,11,2018,16,4,52,,0.0002468494,2496,19068
"ESS9e03_2",9,"3.2","23.11.2023",349,"NL",1.016773,1.3817602,0.8618326,1.1908461,60,5,60,7,8,8,2,2,2,2,2,8,8,8,8,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,6,7,9,8,8,8,8,8,2,1,5,2,6,3,3,3,8,5,6,8,4,3,4,2,2,3,3,9,6,1,1,,,,,,,,,,,,,,1,,,,,,6,66,,,,,,,,,,,,,,6666,,,,,,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"6666",1,"6666",6666,"DUT","000",2,1,"6666",1,"6666",1,1,,,1,1970,1971,1,1979,1,1979,1,2,1976,1979,1,2015,6,2,16,50,70,23,23,23,65,17,18,0,20,65,0,50,0,5,5,5,5,9,5,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,1947,71,1949,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,66,66,66,,,1,,1,2,66,,1,2,4,3,322,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,12,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2005,1,66666,1,5,1,70,8,8,40,1,50,33,4,1300,2,2,6,6,3,1,7,1,4,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,66,2,66666,6,666,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,8,1,113,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,66,2,11040,555555,"NL42",2,2,3,3,8,8,8,8,2,2,666666666,66,3100,66,6,2,666666666,888888888,0,2,0,3,4,4,3,3,3,4,1,4,5,2,2,2,4,5,2,3,3,5,2,2,3,4,5,1,3,3,4,3,5,1,1,2,3,31,10,2018,10,7,31,10,2018,11,32,81,,0.00024058604,2483,17721
