GroupID,ParticipantID,AgeGroup,SexAtBirth,GenderIdentity,Ethnicity,Education,WorkStatus,District,Religion,CR_Item_1,CR_Item_2,CR_Item_3,CR_Item_4,CR_Item_5,CR_Item_6,CR_Item_7,CR_Item_8,CR_Item_9,CR_Item_10,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Openness
1,G1_P1,35-44,Man,Man,Aziatisch,Mbo,Fulltime,Nieuw-West,Geen religie,5,2,4,2,4,5,1,4,2,5,4,1,1,3,3
1,G1_P2,45-54,Man,Man,Nederlands,Universiteit,Zorg,Zuidoost,Geen religie,3,4,4,1,3,5,3,5,1,2,4,1,4,6,2
1,G1_P3,35-44,Man,Man,Nederlands,Vmbo,Parttime,Zuid,Geen religie,4,4,5,3,1,4,2,4,2,2,4,6,5,7,2
1,G1_P4,18-24,Man,Man,Nederlands,Universiteit,Fulltime,Noord,Christendom,4,1,5,5,2,5,2,1,4,4,4,5,1,5,7
1,G1_P5,35-44,Man,Man,Nederlands,Geen,Parttime,Zuidoost,Geen religie,3,1,3,3,1,3,5,2,2,1,4,7,1,4,2
1,G1_P6,65+,Man,Man,Aziatisch,HBO,Gepensioneerd,Zuid,Geen religie,3,3,1,3,5,3,1,5,2,3,1,7,7,2,2
1,G1_P7,35-44,Man,Man,Overig,Mbo,Fulltime,Zuid,Geen religie,5,5,3,5,4,5,3,3,4,2,2,5,6,1,5
1,G1_P8,25-34,Man,Man,Turks,Mbo,Parttime,Noord,Geen religie,3,2,4,1,1,1,1,3,1,4,5,1,3,7,6
1,G1_P9,55-64,Man,Man,Nederlands,Geen,Parttime,West,Islam,3,1,4,1,1,2,4,4,2,3,1,5,1,1,3
1,G1_P10,25-34,Vrouw,Vrouw,Nederlands,Universiteit,Fulltime,Oost,Geen religie,1,3,2,5,4,2,4,3,3,1,7,6,5,4,2
2,G2_P1,65+,Vrouw,Vrouw,Nederlands,Mbo,Gepensioneerd,West,Islam,3,4,4,1,1,2,1,3,4,1,1,2,7,7,6
2,G2_P2,65+,Man,Man,Marokkaans,Vmbo,Vrijwilliger,Centrum,Geen religie,4,1,2,1,4,5,5,3,1,1,3,3,3,4,6
2,G2_P3,18-24,Vrouw,Vrouw,Nederlands,Geen,Parttime,Zuid,Geen religie,4,3,1,3,1,5,2,2,2,3,5,1,4,1,4
2,G2_P4,55-64,Vrouw,Vrouw,Nederlands,Havo/Vwo,Fulltime,Centrum,Geen religie,3,3,5,3,3,3,2,5,1,4,7,1,5,4,5
2,G2_P5,35-44,Vrouw,Vrouw,Nederlands,Geen,Fulltime,Zuid,Islam,5,5,3,4,1,5,5,1,5,3,4,1,4,7,5
2,G2_P6,65+,Man,Man,Marokkaans,Havo/Vwo,Vrijwilliger,West,Geen religie,2,2,3,2,2,3,2,2,2,1,1,1,3,6,7
2,G2_P7,55-64,Man,Man,Nederlands,Havo/Vwo,Parttime,Centrum,Agnostisch,4,2,1,4,5,4,1,4,3,4,2,2,7,7,6
2,G2_P8,45-54,Man,Man,Nederlands,HBO,Fulltime,West,Geen religie,1,4,2,3,4,5,1,5,4,4,4,5,7,4,6
