GroupID,ParticipantID,AgeGroup,SexAtBirth,GenderIdentity,Ethnicity,Education,WorkStatus,District,Religion,Extraversion,Agreeableness,Conscientiousness,EmotionalStability,Openness,CR_Item_1,CR_Item_2,CR_Item_3,CR_Item_4,CR_Item_5,CR_Item_6,CR_Item_7,CR_Item_8,CR_Item_9,CR_Item_10
1,G1_P1,35-44,Man,Non-binair,Overig,Mbo,Werkloos,Nieuw-West,Geen religie,4,1,1,3,3,5,2,4,2,4,5,1,4,2,5
1,G1_P2,25-34,Man,Trans vrouw,Surinaams,Universiteit,Vrijwilliger,Zuidoost,Geen religie,4,1,4,6,2,3,4,4,1,3,5,3,5,1,2
1,G1_P3,25-34,Man,Non-binair,Antilliaans,Vmbo,Gepensioneerd,Zuid,Agnostisch,4,6,5,7,2,4,4,5,3,1,4,2,4,2,2
1,G1_P4,25-34,Man,Vrouw,Overig,Universiteit,Gepensioneerd,Noord,Agnostisch,4,5,1,5,7,4,1,5,5,2,5,2,1,4,4
1,G1_P5,55-64,Man,Man,Marokkaans,Geen,Gepensioneerd,Zuidoost,Jodendom,4,7,1,4,2,3,1,3,3,1,3,5,2,2,1
1,G1_P6,18-24,Man,Anders,Antilliaans,HBO,Zorg,Zuid,Geen religie,1,7,7,2,2,3,3,1,3,5,3,1,5,2,3
1,G1_P7,45-54,Man,Man,Antilliaans,Mbo,Student,Zuid,Geen religie,2,5,6,1,5,5,5,3,5,4,5,3,3,4,2
1,G1_P8,65+,Man,Trans vrouw,Overig,Mbo,Gepensioneerd,Noord,Geen religie,5,1,3,7,6,3,2,4,1,1,1,1,3,1,4
1,G1_P9,35-44,Man,Non-binair,Turks,Geen,Zorg,West,Hindoeïsme,1,5,1,1,3,3,1,4,1,1,2,4,4,2,3
1,G1_P10,18-24,Vrouw,Trans vrouw,Marokkaans,Universiteit,Gezondheid,Oost,Christendom,7,6,5,4,2,1,3,2,5,4,2,4,3,3,1
2,G2_P1,35-44,Vrouw,Trans man,Aziatisch,Mbo,Zorg,West,Jodendom,1,2,7,7,6,3,4,4,1,1,2,1,3,4,1
2,G2_P2,25-34,Man,Trans vrouw,Aziatisch,Vmbo,Werkloos,Centrum,Hindoeïsme,3,3,3,4,6,4,1,2,1,4,5,5,3,1,1
2,G2_P3,18-24,Vrouw,Trans man,Marokkaans,Geen,Werkloos,Zuid,Geen religie,5,1,4,1,4,4,3,1,3,1,5,2,2,2,3
2,G2_P4,18-24,Vrouw,Trans vrouw,Overig,Havo/Vwo,Fulltime,Centrum,Hindoeïsme,7,1,5,4,5,3,3,5,3,3,3,2,5,1,4
2,G2_P5,35-44,Vrouw,Man,Nederlands,Geen,Gepensioneerd,Zuid,Geen religie,4,1,4,7,5,5,5,3,4,1,5,5,1,5,3
2,G2_P6,55-64,Man,Man,Nederlands,Havo/Vwo,Werkloos,West,Christendom,1,1,3,6,7,2,2,3,2,2,3,2,2,2,1
2,G2_P7,55-64,Man,Vrouw,Surinaams,Havo/Vwo,Parttime,Centrum,Boeddhisme,2,2,7,7,6,4,2,1,4,5,4,1,4,3,4
2,G2_P8,35-44,Man,Anders,Marokkaans,HBO,Vrijwilliger,West,Islam,4,5,7,4,6,1,4,2,3,4,5,1,5,4,4
2,G2_P9,55-64,Man,Anders,Aziatisch,Havo/Vwo,Gezondheid,Zuid,Boeddhisme,2,5,6,7,7,2,4,2,3,1,3,4,2,2,5
2,G2_P10,18-24,Vrouw,Man,Antilliaans,Vmbo,Parttime,Centrum,Agnostisch,2,3,5,6,1,2,1,5,5,1,5,5,5,3,4
3,G3_P1,55-64,Man,Vrouw,Antilliaans,Vmbo,Werkloos,Oost,Agnostisch,2,3,2,1,5,4,1,5,2,2,5,4,2,4,2
3,G3_P2,55-64,Man,Vrouw,Aziatisch,Geen,Gepensioneerd,Nieuw-West,Hindoeïsme,4,3,1,1,2,4,2,3,4,1,1,5,3,3,5
3,G3_P3,35-44,Man,Non-binair,Surinaams,Mbo,Gezondheid,Noord,Islam,6,2,3,1,7,5,3,2,3,1,2,5,2,2,2
3,G3_P4,45-54,Vrouw,Vrouw,Antilliaans,HBO,Zorg,Oost,Hindoeïsme,3,4,2,1,7,1,5,5,1,4,2,5,1,3,1
3,G3_P5,65+,Vrouw,Trans vrouw,Overig,Geen,Gezondheid,Oost,Agnostisch,1,4,4,5,1,1,3,1,1,1,4,1,5,3,3
3,G3_P6,35-44,Man,Trans vrouw,Nederlands,Universiteit,Gezondheid,Zuid,Jodendom,5,7,1,7,5,2,5,5,3,4,1,4,3,5,4
3,G3_P7,55-64,Vrouw,Anders,Aziatisch,Vmbo,Student,Nieuw-West,Agnostisch,5,6,7,6,5,5,3,3,2,4,1,2,2,4,1
3,G3_P8,25-34,Man,Trans man,Aziatisch,Vmbo,Parttime,Oost,Boeddhisme,6,4,7,3,5,5,3,5,1,4,1,1,5,4,4
3,G3_P9,45-54,Vrouw,Trans man,Aziatisch,Vmbo,Parttime,Nieuw-West,Agnostisch,7,1,3,5,4,3,5,5,2,4,2,4,4,5,1
3,G3_P10,65+,Man,Trans vrouw,Surinaams,Geen,Fulltime,Centrum,Geen religie,5,4,3,3,4,5,2,4,5,5,5,5,5,3,4
4,G4_P1,65+,Vrouw,Man,Nederlands,Havo/Vwo,Gepensioneerd,West,Geen religie,4,4,5,1,4,4,4,5,2,4,4,2,2,4,2
4,G4_P2,35-44,Vrouw,Man,Turks,Geen,Fulltime,Oost,Hindoeïsme,2,2,6,2,3,5,4,5,5,3,5,2,3,5,1
4,G4_P3,55-64,Man,Man,Overig,Universiteit,Fulltime,West,Agnostisch,2,1,3,7,1,1,3,5,2,1,3,3,1,5,1
4,G4_P4,55-64,Man,Anders,Nederlands,Mbo,Fulltime,Oost,Agnostisch,5,6,1,6,1,5,3,5,5,5,5,2,2,3,1
4,G4_P5,35-44,Man,Trans vrouw,Nederlands,Universiteit,Fulltime,Centrum,Islam,5,6,6,3,1,4,2,2,2,3,3,2,4,1,4
4,G4_P6,18-24,Man,Non-binair,Aziatisch,HBO,Vrijwilliger,West,Jodendom,1,6,1,7,4,3,4,2,2,2,2,3,3,2,4
4,G4_P7,65+,Vrouw,Trans man,Overig,Geen,Student,Oost,Hindoeïsme,5,6,3,3,3,2,1,2,1,4,4,5,2,5,2
4,G4_P8,35-44,Vrouw,Trans man,Overig,Universiteit,Werkloos,Zuid,Hindoeïsme,5,5,2,4,2,1,3,3,3,5,2,5,2,3,3
4,G4_P9,55-64,Man,Anders,Nederlands,Geen,Student,Centrum,Hindoeïsme,6,7,6,3,7,2,2,1,2,5,3,1,2,1,1
4,G4_P10,55-64,Man,Trans vrouw,Antilliaans,Geen,Werkloos,Centrum,Jodendom,7,7,6,3,7,5,4,2,4,2,5,2,3,3,3
5,G5_P1,55-64,Man,Man,Surinaams,Geen,Gezondheid,Noord,Islam,5,2,7,4,7,4,1,1,5,4,1,4,2,3,1
5,G5_P2,65+,Vrouw,Man,Antilliaans,Mbo,Zorg,West,Christendom,5,6,5,6,6,5,4,2,2,3,3,5,5,1,1
5,G5_P3,45-54,Vrouw,Anders,Turks,Universiteit,Vrijwilliger,Zuidoost,Agnostisch,7,6,6,1,6,1,3,3,5,4,2,4,4,3,4
5,G5_P4,65+,Vrouw,Man,Turks,Vmbo,Gezondheid,Nieuw-West,Islam,1,4,7,1,2,3,5,4,5,2,4,3,4,1,4
5,G5_P5,65+,Man,Non-binair,Aziatisch,Universiteit,Zorg,Zuidoost,Hindoeïsme,5,2,4,1,7,5,3,3,1,2,2,5,2,4,2
5,G5_P6,55-64,Man,Man,Marokkaans,Havo/Vwo,Gezondheid,Noord,Agnostisch,4,3,3,1,6,3,1,5,4,4,2,5,3,1,2
5,G5_P7,45-54,Vrouw,Trans man,Marokkaans,Geen,Student,Noord,Hindoeïsme,2,1,2,7,6,3,5,5,5,3,3,2,4,1,5
5,G5_P8,35-44,Vrouw,Man,Overig,Geen,Fulltime,Centrum,Christendom,4,6,7,3,4,2,5,3,3,3,3,2,4,5,1
5,G5_P9,55-64,Man,Man,Nederlands,HBO,Student,Nieuw-West,Agnostisch,5,4,7,5,5,1,4,2,2,5,3,2,1,5,4
5,G5_P10,55-64,Man,Trans vrouw,Overig,HBO,Parttime,Nieuw-West,Agnostisch,6,2,6,6,7,3,3,4,4,2,3,3,5,4,3
6,G6_P1,18-24,Man,Trans vrouw,Overig,Havo/Vwo,Gepensioneerd,Zuid,Hindoeïsme,6,1,6,3,7,4,5,5,2,1,4,2,1,3,5
6,G6_P2,18-24,Man,Non-binair,Turks,Vmbo,Vrijwilliger,Zuid,Geen religie,5,2,1,3,7,1,1,3,5,1,5,1,2,4,1
6,G6_P3,45-54,Vrouw,Trans man,Aziatisch,Universiteit,Parttime,Zuidoost,Islam,7,4,6,5,1,3,2,3,1,3,3,4,3,3,1
6,G6_P4,18-24,Vrouw,Trans man,Marokkaans,Universiteit,Parttime,Zuid,Islam,7,1,5,6,7,5,1,1,4,1,1,4,4,5,1
6,G6_P5,35-44,Man,Trans man,Surinaams,Universiteit,Werkloos,Noord,Boeddhisme,1,2,6,6,3,1,5,5,3,2,1,3,2,2,4
6,G6_P6,45-54,Man,Non-binair,Turks,Havo/Vwo,Werkloos,West,Islam,7,3,7,5,6,3,2,4,1,4,2,5,1,1,3
6,G6_P7,18-24,Vrouw,Trans man,Antilliaans,Havo/Vwo,Fulltime,Zuid,Agnostisch,7,5,3,5,3,2,3,3,4,4,5,5,2,2,1
6,G6_P8,45-54,Vrouw,Vrouw,Aziatisch,Vmbo,Fulltime,Zuidoost,Boeddhisme,2,5,4,3,4,4,3,2,2,3,4,4,5,5,1
6,G6_P9,25-34,Vrouw,Man,Turks,Vmbo,Vrijwilliger,Nieuw-West,Geen religie,6,4,2,2,5,1,2,3,1,1,2,5,1,1,3
6,G6_P10,55-64,Vrouw,Non-binair,Nederlands,Havo/Vwo,Vrijwilliger,West,Boeddhisme,2,6,5,3,1,2,4,1,2,1,5,1,2,4,5
7,G7_P1,55-64,Vrouw,Non-binair,Overig,Mbo,Vrijwilliger,West,Geen religie,5,3,3,4,1,2,4,3,1,3,5,4,3,2,5
7,G7_P2,35-44,Man,Trans man,Aziatisch,Universiteit,Parttime,Zuidoost,Agnostisch,6,3,5,3,2,5,1,2,4,4,3,3,4,3,1
7,G7_P3,18-24,Vrouw,Non-binair,Marokkaans,Geen,Fulltime,Centrum,Christendom,4,3,6,6,2,1,5,3,2,1,3,3,2,5,4
7,G7_P4,45-54,Man,Trans vrouw,Turks,Havo/Vwo,Zorg,Centrum,Boeddhisme,2,1,4,7,3,1,2,1,1,4,3,5,1,5,1
7,G7_P5,25-34,Man,Vrouw,Surinaams,Vmbo,Werkloos,Zuidoost,Christendom,7,6,4,7,3,2,5,2,5,1,3,2,3,5,2
7,G7_P6,25-34,Vrouw,Man,Antilliaans,Universiteit,Gezondheid,Nieuw-West,Hindoeïsme,5,6,1,5,2,4,5,2,3,5,3,2,4,1,4
7,G7_P7,18-24,Vrouw,Vrouw,Nederlands,Mbo,Vrijwilliger,West,Agnostisch,5,6,1,5,6,3,2,2,3,5,5,2,3,3,4
7,G7_P8,55-64,Man,Trans vrouw,Antilliaans,Geen,Parttime,Noord,Christendom,1,1,5,6,7,4,5,1,1,3,5,2,4,2,5
7,G7_P9,18-24,Man,Man,Overig,Mbo,Gepensioneerd,Nieuw-West,Islam,4,3,4,5,7,5,5,5,3,4,3,5,2,1,4
7,G7_P10,65+,Vrouw,Non-binair,Turks,Universiteit,Parttime,Nieuw-West,Islam,3,4,2,1,5,1,2,1,1,2,3,5,5,1,1
8,G8_P1,55-64,Man,Man,Marokkaans,Geen,Gepensioneerd,Noord,Boeddhisme,2,4,2,1,7,2,3,1,3,3,4,5,1,3,1
8,G8_P2,18-24,Vrouw,Trans man,Turks,Vmbo,Werkloos,Zuid,Agnostisch,1,2,5,6,5,3,5,2,2,5,4,5,4,5,5
8,G8_P3,35-44,Vrouw,Vrouw,Marokkaans,Havo/Vwo,Student,Oost,Christendom,5,2,4,7,3,3,4,1,3,3,1,5,3,5,1
8,G8_P4,65+,Man,Non-binair,Turks,Havo/Vwo,Student,West,Christendom,4,7,2,5,6,3,2,2,3,5,2,4,2,5,5
8,G8_P5,35-44,Vrouw,Man,Turks,Vmbo,Gepensioneerd,Oost,Jodendom,4,2,4,3,1,3,2,1,2,4,4,5,5,4,4
8,G8_P6,45-54,Man,Vrouw,Aziatisch,Universiteit,Fulltime,Noord,Islam,4,7,5,3,1,3,2,2,5,4,4,3,3,4,5
8,G8_P7,65+,Man,Trans man,Nederlands,Havo/Vwo,Parttime,Zuidoost,Islam,3,4,2,7,6,2,2,5,4,1,3,5,1,5,5
8,G8_P8,45-54,Vrouw,Trans man,Marokkaans,Havo/Vwo,Fulltime,Noord,Hindoeïsme,3,1,2,4,6,4,5,5,5,3,4,3,1,5,3
8,G8_P9,25-34,Man,Man,Marokkaans,Geen,Werkloos,Zuid,Islam,7,3,5,4,5,4,3,4,1,1,5,5,3,2,4
8,G8_P10,45-54,Vrouw,Trans vrouw,Aziatisch,Universiteit,Gezondheid,Centrum,Geen religie,3,5,1,5,2,1,4,4,4,1,1,4,5,5,2
9,G9_P1,45-54,Vrouw,Trans man,Aziatisch,Universiteit,Zorg,Centrum,Christendom,1,1,1,5,6,4,1,4,4,1,2,2,4,1,2
9,G9_P2,18-24,Vrouw,Vrouw,Turks,Universiteit,Gezondheid,West,Geen religie,3,6,1,6,1,2,2,2,2,2,4,1,3,5,3
9,G9_P3,18-24,Vrouw,Vrouw,Aziatisch,Mbo,Vrijwilliger,Zuid,Geen religie,6,3,2,6,4,3,3,4,4,2,2,3,1,4,2
9,G9_P4,45-54,Man,Non-binair,Overig,Havo/Vwo,Parttime,Nieuw-West,Agnostisch,1,3,3,4,2,4,5,5,5,3,4,2,2,3,5
9,G9_P5,35-44,Vrouw,Non-binair,Overig,Universiteit,Gezondheid,Zuidoost,Christendom,6,4,4,2,1,4,1,5,2,5,4,5,4,4,4
9,G9_P6,35-44,Vrouw,Trans vrouw,Aziatisch,Vmbo,Student,West,Hindoeïsme,5,2,5,7,1,2,2,4,2,3,3,2,5,4,3
9,G9_P7,35-44,Vrouw,Trans vrouw,Marokkaans,Universiteit,Gezondheid,West,Hindoeïsme,7,6,1,3,1,2,5,5,5,1,4,5,1,4,2
9,G9_P8,18-24,Man,Trans man,Antilliaans,HBO,Student,Zuidoost,Christendom,6,1,1,5,4,4,4,5,3,2,3,2,5,2,4
9,G9_P9,35-44,Vrouw,Man,Nederlands,Universiteit,Gepensioneerd,Zuid,Christendom,3,5,4,2,6,3,5,5,4,5,1,1,4,4,4
9,G9_P10,25-34,Man,Non-binair,Nederlands,Mbo,Parttime,Oost,Christendom,4,5,2,3,3,3,5,5,3,5,1,1,3,4,2
10,G10_P1,25-34,Man,Anders,Aziatisch,Mbo,Gezondheid,Noord,Boeddhisme,1,7,7,2,3,4,2,2,4,2,5,1,5,5,2
10,G10_P2,25-34,Man,Vrouw,Turks,Geen,Parttime,Zuidoost,Christendom,2,6,4,2,2,4,3,1,4,1,1,3,5,5,1
10,G10_P3,65+,Man,Man,Nederlands,Geen,Fulltime,Oost,Christendom,2,5,1,7,3,5,5,1,3,4,2,5,4,3,2
10,G10_P4,55-64,Vrouw,Anders,Turks,Universiteit,Gezondheid,Centrum,Boeddhisme,1,3,4,6,2,1,4,2,5,3,4,5,1,1,1
10,G10_P5,35-44,Vrouw,Anders,Antilliaans,Universiteit,Parttime,West,Geen religie,4,5,2,5,7,1,3,5,2,2,4,5,5,2,1
10,G10_P6,45-54,Man,Trans man,Nederlands,Universiteit,Vrijwilliger,West,Hindoeïsme,3,7,4,5,5,3,3,5,5,3,5,4,1,4,3
10,G10_P7,65+,Man,Anders,Overig,HBO,Gepensioneerd,Oost,Hindoeïsme,4,2,1,6,3,3,5,4,3,2,4,2,2,1,5
10,G10_P8,45-54,Man,Non-binair,Overig,Geen,Parttime,Oost,Islam,6,4,1,2,1,4,4,4,1,4,5,2,3,5,5
10,G10_P9,25-34,Man,Man,Overig,HBO,Parttime,Centrum,Islam,3,4,2,1,7,3,5,4,2,3,4,4,2,1,2
10,G10_P10,25-34,Man,Man,Marokkaans,Havo/Vwo,Gepensioneerd,West,Christendom,1,6,1,2,3,5,1,5,3,4,3,2,1,5,5
11,G11_P1,35-44,Vrouw,Trans vrouw,Overig,Universiteit,Zorg,Zuid,Islam,6,1,7,4,5,2,5,4,5,1,4,3,1,1,3
11,G11_P2,18-24,Vrouw,Trans vrouw,Antilliaans,HBO,Gepensioneerd,Nieuw-West,Boeddhisme,3,2,7,6,4,2,3,4,5,2,3,2,4,2,1
11,G11_P3,65+,Vrouw,Trans vrouw,Turks,HBO,Student,Oost,Agnostisch,3,6,5,4,4,1,2,1,4,1,4,4,3,5,4
11,G11_P4,18-24,Vrouw,Non-binair,Marokkaans,Mbo,Vrijwilliger,Noord,Islam,2,1,5,2,3,1,5,4,4,2,5,4,1,2,5
11,G11_P5,18-24,Vrouw,Trans man,Turks,Havo/Vwo,Gepensioneerd,Noord,Agnostisch,7,1,2,6,2,2,4,2,3,3,4,5,4,2,4
11,G11_P6,55-64,Man,Vrouw,Aziatisch,Universiteit,Vrijwilliger,Noord,Jodendom,2,2,1,2,1,4,1,5,3,2,3,2,3,2,4
11,G11_P7,55-64,Vrouw,Trans vrouw,Antilliaans,Universiteit,Fulltime,Noord,Geen religie,2,4,1,7,4,5,4,3,3,1,1,5,5,2,5
11,G11_P8,55-64,Vrouw,Trans vrouw,Overig,HBO,Gezondheid,Noord,Hindoeïsme,3,2,2,1,2,2,5,4,5,3,2,4,3,3,5
11,G11_P9,65+,Vrouw,Non-binair,Nederlands,Geen,Gezondheid,Nieuw-West,Christendom,5,7,4,4,5,3,5,1,4,3,4,1,4,4,1
11,G11_P10,45-54,Vrouw,Anders,Nederlands,Vmbo,Gezondheid,Oost,Hindoeïsme,6,6,7,5,2,5,3,3,4,5,5,5,2,3,5
12,G12_P1,55-64,Man,Non-binair,Overig,HBO,Werkloos,Zuid,Christendom,4,4,2,3,1,3,1,4,3,5,4,5,2,4,2
12,G12_P2,55-64,Man,Anders,Turks,Vmbo,Student,West,Boeddhisme,2,2,2,4,5,1,1,1,1,1,1,2,4,5,1
12,G12_P3,45-54,Vrouw,Vrouw,Overig,Havo/Vwo,Vrijwilliger,Centrum,Agnostisch,7,3,1,5,3,1,4,5,3,5,4,1,5,5,1
12,G12_P4,35-44,Man,Non-binair,Antilliaans,Mbo,Student,West,Agnostisch,5,6,6,2,6,4,3,4,3,3,4,3,3,2,5
12,G12_P5,45-54,Vrouw,Man,Nederlands,Geen,Parttime,Zuidoost,Islam,5,4,4,3,2,3,1,4,4,1,1,1,2,2,2
12,G12_P6,65+,Vrouw,Trans vrouw,Antilliaans,Vmbo,Zorg,West,Agnostisch,6,4,5,4,3,1,2,1,1,3,4,2,1,2,4
12,G12_P7,65+,Man,Non-binair,Antilliaans,Havo/Vwo,Parttime,Noord,Agnostisch,1,6,4,5,5,1,4,1,2,5,5,5,4,3,3
12,G12_P8,25-34,Man,Non-binair,Turks,Mbo,Zorg,West,Agnostisch,6,7,4,7,1,3,4,5,3,5,5,1,3,3,5
12,G12_P9,55-64,Man,Vrouw,Turks,Vmbo,Werkloos,Centrum,Hindoeïsme,5,6,7,3,3,5,3,1,4,3,2,2,3,1,2
12,G12_P10,25-34,Man,Non-binair,Antilliaans,Geen,Gepensioneerd,Zuid,Geen religie,3,3,7,7,6,2,2,2,4,1,1,2,5,1,4
13,G13_P1,35-44,Man,Anders,Marokkaans,HBO,Vrijwilliger,Zuidoost,Boeddhisme,5,2,7,4,4,2,4,4,1,5,4,1,4,5,3
13,G13_P2,65+,Vrouw,Anders,Antilliaans,Vmbo,Zorg,Zuidoost,Hindoeïsme,5,4,6,7,1,4,3,1,3,5,4,2,5,4,3
13,G13_P3,18-24,Man,Trans vrouw,Turks,Geen,Zorg,Zuid,Jodendom,3,7,1,2,5,3,1,4,5,1,1,4,4,3,4
13,G13_P4,18-24,Vrouw,Vrouw,Surinaams,Vmbo,Zorg,Oost,Jodendom,6,2,3,5,5,1,5,1,3,5,3,5,3,2,3
13,G13_P5,55-64,Vrouw,Non-binair,Overig,Vmbo,Werkloos,Oost,Hindoeïsme,4,1,7,4,1,2,4,2,3,1,1,4,1,4,4
13,G13_P6,45-54,Man,Trans vrouw,Antilliaans,Vmbo,Vrijwilliger,Noord,Hindoeïsme,3,4,2,2,3,3,4,2,2,1,5,4,1,5,4
13,G13_P7,18-24,Man,Vrouw,Surinaams,Geen,Zorg,Zuidoost,Geen religie,5,2,5,3,7,2,3,4,5,2,2,4,1,5,2
13,G13_P8,25-34,Man,Man,Surinaams,Havo/Vwo,Zorg,Centrum,Boeddhisme,7,6,7,1,1,4,1,5,1,1,2,5,4,2,1
13,G13_P9,55-64,Man,Trans vrouw,Turks,Vmbo,Zorg,Centrum,Agnostisch,2,2,2,3,5,1,1,2,2,1,2,5,5,2,1
13,G13_P10,65+,Man,Anders,Aziatisch,Mbo,Zorg,West,Jodendom,6,3,5,1,2,3,1,5,4,2,4,4,5,4,4
14,G14_P1,25-34,Vrouw,Anders,Surinaams,Mbo,Gezondheid,Centrum,Jodendom,1,4,5,5,7,2,3,3,5,3,3,4,2,4,4
14,G14_P2,18-24,Man,Anders,Turks,Vmbo,Parttime,Zuid,Hindoeïsme,1,7,5,4,3,4,2,3,5,3,3,2,3,1,4
14,G14_P3,55-64,Man,Anders,Nederlands,Universiteit,Vrijwilliger,Nieuw-West,Christendom,6,2,7,3,7,4,3,1,5,5,5,5,2,4,4
14,G14_P4,35-44,Vrouw,Trans man,Overig,Geen,Gepensioneerd,Centrum,Hindoeïsme,6,3,4,4,1,2,2,5,3,5,4,5,1,4,2
14,G14_P5,35-44,Vrouw,Trans vrouw,Turks,Mbo,Fulltime,Oost,Islam,4,2,1,3,7,3,4,4,2,5,4,2,1,5,3
14,G14_P6,25-34,Vrouw,Man,Nederlands,Universiteit,Fulltime,Oost,Hindoeïsme,7,7,6,1,4,3,3,3,1,4,5,2,2,3,4
14,G14_P7,45-54,Vrouw,Trans man,Aziatisch,Mbo,Parttime,Centrum,Agnostisch,3,4,5,7,2,5,3,1,5,5,4,4,4,1,1
14,G14_P8,35-44,Vrouw,Trans man,Marokkaans,Havo/Vwo,Gezondheid,Nieuw-West,Jodendom,6,7,6,1,3,2,4,5,3,3,3,4,1,1,2
